2022-08-14 11:23:10,302 INFO    MainThread:800 [wandb_setup.py:_flush():76] Configure stats pid to 800
2022-08-14 11:23:10,303 INFO    MainThread:800 [wandb_setup.py:_flush():76] Loading settings from /home/shanigoren/.config/wandb/settings
2022-08-14 11:23:10,303 INFO    MainThread:800 [wandb_setup.py:_flush():76] Loading settings from /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/settings
2022-08-14 11:23:10,303 INFO    MainThread:800 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-14 11:23:10,303 INFO    MainThread:800 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'image_classification/experiments/no_teacher.py', 'program': 'experiments/no_teacher.py'}
2022-08-14 11:23:10,303 INFO    MainThread:800 [wandb_init.py:_log_setup():461] Logging user logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20220814_112310-3t48kz9v/logs/debug.log
2022-08-14 11:23:10,304 INFO    MainThread:800 [wandb_init.py:_log_setup():462] Logging internal logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20220814_112310-3t48kz9v/logs/debug-internal.log
2022-08-14 11:23:10,304 INFO    MainThread:800 [wandb_init.py:init():495] calling init triggers
2022-08-14 11:23:10,304 INFO    MainThread:800 [wandb_init.py:init():499] wandb.init called with sweep_config: {}
config: {'dataset': 'imagewoof', 'model': 'resnet26', 'stage': 0, 'num_classes': 10, 'batch_size': 64, 'num_epochs': 4, 'learning_rate': 0.0001, 'seed': 0, 'percentage': None, 'gpu': 0}
2022-08-14 11:23:10,305 INFO    MainThread:800 [wandb_init.py:init():543] wandb.init() called when a run is still active
