2022-10-09 12:48:57,639 INFO    MainThread:925780 [wandb_setup.py:_flush():68] Configure stats pid to 925780
2022-10-09 12:48:57,641 INFO    MainThread:925780 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/.config/wandb/settings
2022-10-09 12:48:57,641 INFO    MainThread:925780 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/settings
2022-10-09 12:48:57,642 INFO    MainThread:925780 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-09 12:48:57,642 INFO    MainThread:925780 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'image_classification/experiments/simultaneous_kd.py', 'program': 'experiments/simultaneous_kd.py'}
2022-10-09 12:48:57,642 INFO    MainThread:925780 [wandb_init.py:_log_setup():476] Logging user logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221009_124857-3jcbu051/logs/debug.log
2022-10-09 12:48:57,642 INFO    MainThread:925780 [wandb_init.py:_log_setup():477] Logging internal logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221009_124857-3jcbu051/logs/debug-internal.log
2022-10-09 12:48:57,643 INFO    MainThread:925780 [wandb_init.py:init():516] calling init triggers
2022-10-09 12:48:57,643 INFO    MainThread:925780 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'dataset': 'imagewoof', 'model': 'resnet18', 'stage': 0, 'num_classes': 10, 'batch_size': 64, 'num_epochs': 100, 'learning_rate': 0.0001, 'seed': 0, 'percentage': None, 'gpu': 0, 'experiment': 'Simultaneous'}
2022-10-09 12:48:57,644 INFO    MainThread:925780 [wandb_init.py:init():564] wandb.init() called when a run is still active
