2022-10-09 16:53:05,549 INFO    MainThread:989697 [wandb_setup.py:_flush():68] Configure stats pid to 989697
2022-10-09 16:53:05,550 INFO    MainThread:989697 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/.config/wandb/settings
2022-10-09 16:53:05,550 INFO    MainThread:989697 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/settings
2022-10-09 16:53:05,550 INFO    MainThread:989697 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-09 16:53:05,550 INFO    MainThread:989697 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'image_classification/experiments/hinton_kd.py', 'program': 'experiments/hinton_kd.py'}
2022-10-09 16:53:05,551 INFO    MainThread:989697 [wandb_init.py:_log_setup():476] Logging user logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221009_165305-3sigf2fx/logs/debug.log
2022-10-09 16:53:05,551 INFO    MainThread:989697 [wandb_init.py:_log_setup():477] Logging internal logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221009_165305-3sigf2fx/logs/debug-internal.log
2022-10-09 16:53:05,551 INFO    MainThread:989697 [wandb_init.py:init():516] calling init triggers
2022-10-09 16:53:05,551 INFO    MainThread:989697 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'dataset': 'imagewoof', 'model': 'resnet18', 'num_classes': 10, 'batch_size': 64, 'num_epochs': 100, 'learning_rate': 0.001, 'momentum': 0.9, 'seed': 0, 'percentage': None, 'gpu': 0, 'temperature': 20, 'alpha': 0.2, 'weight_decay': 0.0005, 'stage': 0, 'experiment': 'Hinton'}
2022-10-09 16:53:05,552 INFO    MainThread:989697 [wandb_init.py:init():564] wandb.init() called when a run is still active
