2022-10-17 11:58:16,954 INFO    MainThread:3297905 [wandb_setup.py:_flush():68] Configure stats pid to 3297905
2022-10-17 11:58:16,955 INFO    MainThread:3297905 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/.config/wandb/settings
2022-10-17 11:58:16,955 INFO    MainThread:3297905 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/settings
2022-10-17 11:58:16,955 INFO    MainThread:3297905 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-17 11:58:16,955 INFO    MainThread:3297905 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'image_classification/experiments/hinton_kd.py', 'program': 'experiments/hinton_kd.py'}
2022-10-17 11:58:16,955 INFO    MainThread:3297905 [wandb_init.py:_log_setup():476] Logging user logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221017_115816-29ojo6f6/logs/debug.log
2022-10-17 11:58:16,955 INFO    MainThread:3297905 [wandb_init.py:_log_setup():477] Logging internal logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221017_115816-29ojo6f6/logs/debug-internal.log
2022-10-17 11:58:16,956 INFO    MainThread:3297905 [wandb_init.py:init():516] calling init triggers
2022-10-17 11:58:16,956 INFO    MainThread:3297905 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'dataset': 'imagewoof', 'model': 'resnet18', 'num_classes': 10, 'batch_size': 64, 'num_epochs': 100, 'learning_rate': 0.001, 'momentum': 0.9, 'seed': 1, 'percentage': None, 'gpu': 0, 'temperature': 20, 'alpha': 0.2, 'weight_decay': 0.0005, 'stage': 0, 'experiment': 'Hinton'}
2022-10-17 11:58:16,956 INFO    MainThread:3297905 [wandb_init.py:init():569] starting backend
2022-10-17 11:58:16,956 INFO    MainThread:3297905 [wandb_init.py:init():573] setting up manager
2022-10-17 11:58:16,968 INFO    MainThread:3297905 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-17 11:58:16,978 INFO    MainThread:3297905 [wandb_init.py:init():580] backend started and connected
2022-10-17 11:58:16,989 INFO    MainThread:3297905 [wandb_init.py:init():658] updated telemetry
2022-10-17 11:58:17,097 INFO    MainThread:3297905 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-10-17 11:58:17,819 INFO    MainThread:3297905 [wandb_run.py:_on_init():2000] communicating current version
