2022-10-28 10:32:04,850 INFO    MainThread:3747423 [wandb_setup.py:_flush():68] Configure stats pid to 3747423
2022-10-28 10:32:04,851 INFO    MainThread:3747423 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/.config/wandb/settings
2022-10-28 10:32:04,851 INFO    MainThread:3747423 [wandb_setup.py:_flush():68] Loading settings from /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/settings
2022-10-28 10:32:04,851 INFO    MainThread:3747423 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-28 10:32:04,851 INFO    MainThread:3747423 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'image_classification/experiments/hinton_kd.py', 'program': 'experiments/hinton_kd.py'}
2022-10-28 10:32:04,851 INFO    MainThread:3747423 [wandb_init.py:_log_setup():476] Logging user logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221028_103204-2py3yiqh/logs/debug.log
2022-10-28 10:32:04,852 INFO    MainThread:3747423 [wandb_init.py:_log_setup():477] Logging internal logs to /home/shanigoren/KD_Project/Knowledge-Distillation-Project/image_classification/wandb/run-20221028_103204-2py3yiqh/logs/debug-internal.log
2022-10-28 10:32:04,852 INFO    MainThread:3747423 [wandb_init.py:init():516] calling init triggers
2022-10-28 10:32:04,852 INFO    MainThread:3747423 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'dataset': 'imagewoof', 'model': 'resnet18', 'num_classes': 10, 'batch_size': 64, 'num_epochs': 100, 'learning_rate': 0.001, 'momentum': 0.9, 'seed': 12, 'percentage': None, 'gpu': 0, 'temperature': 20, 'alpha': 0.2, 'weight_decay': 0.0005, 'stage': 0, 'experiment': 'Hinton', 'teacher': 'resnet34_1', 'teachers_num': None, 'teacher_models': None, 'update_teacher': False, 'teacher_training': False}
2022-10-28 10:32:04,853 INFO    MainThread:3747423 [wandb_init.py:init():564] wandb.init() called when a run is still active
